cap,floor,persistence,mean_exposure,sharpe,max_dd,total_ret,d_sharpe,d_max_dd,d_total_ret
0.94,0.1,0.94,0.603,-0.1511,-36.48,-13.81,0.236,18.59,25.6
0.94,0.2,0.94,0.636,-0.1773,-38.41,-15.9,0.21,16.66,23.51
0.94,0.3,0.94,0.672,-0.2178,-40.55,-18.98,0.169,14.52,20.43
