date,nav,cash,market_value,daily_return,n_positions,n_orders,n_fills,n_rejections,dividend_cash,gross_exposure,variant
2022-10-19,9994471516.449999,7997013516.449999,1997458000.0,-0.0005528483550001351,5,5,5,0,0.0,0.19985629022128526,baseline
2022-10-20,9957083793.699999,6003594793.699999,3953489000.0,-0.0037408403924572564,10,5,5,0,0.0,0.397052900418638,baseline
2022-10-21,9707595100.199999,4063008100.199999,5644587000.0,-0.025056401921399463,12,5,5,0,0.0,0.5814609016690147,baseline
2022-10-24,9390520038.449999,2184118038.449999,7206402000.0,-0.03266257589827448,14,5,5,0,0.0,0.7674124511201714,baseline
2022-10-25,9304210606.8,326857606.7999989,8977353000.0,-0.009191123739324403,18,5,5,0,0.0,0.9648699260353033,baseline
2022-10-26,9121504226.399998,165037226.39999866,8956467000.0,-0.019636956655567306,18,10,10,0,0.0,0.9819067971352425,baseline
2022-10-27,9470271514.149998,29399514.149998665,9440872000.0,0.038235720676484064,17,10,10,0,0.0,0.9968955996556096,baseline
2022-10-28,9368887755.449999,27243755.449998736,9341644000.0,-0.010705475397248754,17,10,10,0,0.0,0.9970921035494154,baseline
2022-10-31,9330412822.999998,80899822.99999893,9249513000.0,-0.004106670231759257,16,10,10,0,0.0,0.9913294487034298,baseline
2022-11-01,9368783510.199999,56651510.199999094,9312132000.0,0.004112431885694878,15,10,10,0,0.0,0.9939531626343675,baseline
2022-11-02,9168752258.349998,46449258.34999925,9122303000.0,-0.02135082443011116,16,10,10,0,0.0,0.9949339608006426,baseline
2022-11-03,9166717937.5,26697937.499999166,9140020000.0,-0.00022187543001239707,16,10,10,0,0.0,0.9970875140173364,baseline
2022-11-04,8822431278.25,25566278.249999046,8796865000.0,-0.037558334574860464,15,10,10,0,0.0,0.997102127809935,baseline
2022-11-07,8281377402.399999,114842402.39999896,8166535000.0,-0.06132707173178731,18,10,10,0,0.0,0.9861324515452325,baseline
2022-11-08,8450194894.049999,146351894.04999876,8303843000.0,0.02038519481083867,20,10,10,0,0.0,0.9826806486850321,baseline
2022-11-09,8446118181.099998,163842181.0999987,8282276000.0,-0.000482440109502269,18,10,10,0,0.0,0.9806014813448111,baseline
2022-11-10,8010757158.449999,26624158.449998617,7984133000.0,-0.051545693928864655,17,10,10,0,0.0,0.9966764491890864,baseline
2022-11-11,8009680079.799999,26115079.79999876,7983565000.0,-0.00013445403832568203,16,10,10,0,0.0,0.9967395601896935,baseline
2022-11-14,7790649730.799999,61027730.79999876,7729622000.0,-0.027345705049117153,14,10,10,0,0.0,0.9921665415711441,baseline
2022-11-15,7423226063.199999,21884063.199998736,7401342000.0,-0.047162134134641764,15,10,9,1,0.0,0.9970519470896235,baseline
2022-11-16,7855505486.099998,21639486.099998534,7833866000.0,0.05823336366421428,15,11,10,1,0.0,0.9972453095299483,baseline
2022-11-17,8166123758.399999,25083758.399998605,8141040000.0,0.03954147481019854,15,11,10,1,0.0,0.9969283151783983,baseline
2022-11-18,8319940685.849998,301283685.8499986,8018657000.0,0.018835977998959086,15,11,11,0,0.0,0.9637877603668015,baseline
2022-11-21,8320066759.149999,283756759.1499985,8036310000.0,1.5153148893887192e-05,17,10,10,0,0.0,0.9658948939516697,baseline
