date,ticker,open,high,low,close,volume
2026-05-11,HPG,27.5,27.5,27.0,27.0,23702974
2026-05-11,PLX,38.0,38.0,36.6,36.8,5094400
2026-05-12,HPG,27.0,27.2,26.85,26.9,19197160
2026-05-12,PLX,37.2,37.9,37.0,37.8,1738800
2026-05-13,HPG,26.95,27.25,26.8,27.1,21568148
2026-05-13,PLX,37.8,40.4,37.5,40.35,10796000
2026-05-14,HPG,27.3,27.4,27.05,27.05,14068257
2026-05-14,PLX,40.5,41.75,39.75,39.85,5371100
2026-05-15,HPG,27.05,27.1,26.45,26.55,75838200
2026-05-15,PLX,39.4,42.35,39.4,42.2,9229000
